rank,shoe,price,release_date,product_link
1,Air Jordan 5 Retro OG 'Black Metallic Reimagined',276.0,Feb 08,https://www.goat.com/sneakers/air-jordan-5-og-metallic-2025-hf3975-001
2,Air Jordan 3 Retro 'Black Cat' 2025,228.0,Jan 11,https://www.goat.com/sneakers/air-jordan-3-retro-black-cat-2025-ct8532-001
3,Air Jordan 11 Retro 'Legend Blue / Columbia' 2024,190.0,2024,https://www.goat.com/sneakers/air-jordan-11-retro-columbia-2024-ct8012-104
4,Gel 1130 'Black Pure Silver',113.0,2023,https://www.goat.com/sneakers/gel-1130-black-pure-silver-1201a906-001
5,Air Jordan 12 Retro 'Flu Game' 2025,274.0,Mar 01,https://www.goat.com/sneakers/air-jordan-12-retro-flu-game-2025-ct8013-002
6,Travis Scott x Air Jordan 1 Retro Low OG SP 'Velvet Brown',265.0,2024,https://www.goat.com/sneakers/travis-scott-x-air-jordan-1-low-og-sp-velvet-brown-dm7866-202
7,Air Jordan 3 Retro OG 'Black Cement' 2024,170.0,2024,https://www.goat.com/sneakers/air-jordan-3-retro-black-cement-reimagined-dn3707-010
8,Air Jordan 1 Retro High OG 'Black Toe Reimagined',142.0,Feb 15,https://www.goat.com/sneakers/air-jordan-1-retro-high-og-black-toe-reimagined-dz5485-061
9,Air Jordan 1 Retro High '85 OG 'Bred / Banned' 2025,296.0,Feb 14,https://www.goat.com/sneakers/air-jordan-1-retro-high-85-og-bred-2025-hv6675-067
10,Air Jordan 5 Retro OG GS 'Black Metallic Reimagined',179.0,Feb 08,https://www.goat.com/sneakers/air-jordan-5-retro-og-gs-metallic-2025-hf3976-001
11,9060 'Black Cat',169.0,Mar 01,https://www.goat.com/sneakers/9060-black-grey-u9060zge
12,Wmns Air Jordan 3 Retro 'Treat Yourself',180.0,Feb 01,https://www.goat.com/sneakers/wmns-air-jordan-3-retro-valentine-s-day-hj0178-600
13,Air Foamposite One 'Galaxy' 2025,240.0,Feb 21,https://www.goat.com/sneakers/air-foamposite-one-galaxy-2024-fq4303-400
14,Zoom Kobe 6 Protro 'All-Star - Sail',259.0,Feb 13,https://www.goat.com/sneakers/zoom-kobe-6-protro-sail-fq3546-100
15,Air Jordan 4 Retro 'Fear' 2024,208.0,2024,https://www.goat.com/sneakers/air-jordan-4-retro-fear-2024-fq8138-002
16,Yeezy Slides 'Dark Onyx',121.0,2024,https://www.goat.com/sneakers/yeezy-slides-dark-onyx-id5103
17,Air Diamond Turf '49ers' 2025,172.0,Jan 24,https://www.goat.com/sneakers/air-diamond-turf-49ers-2025-fz8224-100
18,P-6000 'Metallic Silver',98.0,2023,https://www.goat.com/sneakers/p-6000-metallic-silver-cn0149-001
19,Air Jordan 12 Retro 'Blueberry',248.0,2024,https://www.goat.com/sneakers/air-jordan-12-retro-wizards-ct8013-140
20,Air Force 1 '07 'Triple White',87.0,2020,https://www.goat.com/sneakers/air-force-1-07-triple-white-cw2288-111
21,Dunk Low 'Black White',70.0,2021,https://www.goat.com/sneakers/dunk-low-black-white-dd1391-100
22,Yeezy Boost 350 V2 'Onyx',144.0,2022,https://www.goat.com/sneakers/yeezy-boost-350-v2-onyx-hq4540
23,Yeezy Foam Runner 'Onyx',76.0,2022,https://www.goat.com/sneakers/yeezy-foam-runner-onyx-hp8739
24,Zoom Kobe 5 Protro 'Year of the Mamba - Eggplant',192.0,Jan 09,https://www.goat.com/sneakers/zoom-kobe-5-protro-eggplant-ib4481-500
25,Gel 1130 'White Pure Silver',133.0,,https://www.goat.com/sneakers/gel-1130-white-pure-silver-1201b020-100
26,Air Jordan 11 Retro GS 'Legend Blue / Columbia' 2024,129.0,2024,https://www.goat.com/sneakers/air-jordan-11-retro-gs-columbia-legend-blue-2024-378038-104
27,Dunk Low 'Grey Fog',77.0,2021,https://www.goat.com/sneakers/dunk-low-grey-fog-dd1391-103
28,Air Jordan 4 Retro 'White Thunder',276.0,2024,https://www.goat.com/sneakers/air-jordan-4-retro-white-thunder-fq8138-001
29,Wmns Samba OG 'Cheetah Pack - Preloved Red',137.0,Jan 30,https://www.goat.com/sneakers/wmns-samba-og-preloved-red-leopard-ji2734
30,Travis Scott x Zoom Field Jaxx 'Light Chocolate',150.0,Jan 31,https://www.goat.com/sneakers/travis-scott-x-zoom-field-jaxx-light-chocolate-hq3073-100
31,Air Jordan 3 Retro 'Lucky Shorts',162.0,Feb 22,https://www.goat.com/sneakers/air-jordan-3-retro-summit-white-hydrogen-blue-ct8532-101
32,Air Jordan 4 Retro 'Bred Reimagined',211.0,2024,https://www.goat.com/sneakers/air-jordan-4-retro-bred-reimagined-fv5029-006
33,The Wizard of Oz x Dunk Low SB 'Poppy Field',154.0,2024,https://www.goat.com/sneakers/the-wizard-of-oz-x-dunk-low-sb-ruby-slipper-fz1291-600
34,Gel 1130 'Clay Canyon',88.0,2023,https://www.goat.com/sneakers/gel-1130-clay-canyon-1201a256-113
35,Tasman Slipper 'Black',117.0,2021,https://www.goat.com/sneakers/tasman-slipper-black-5950-blk
36,6 Inch Premium Waterproof Boot 'Wheat',125.0,2019,https://www.goat.com/sneakers/6-inch-premium-waterproof-boot-wheat-tb010061-713
37,Travis Scott x Air Jordan 1 Retro Low OG SP 'Reverse Olive / Medium Olive',480.0,2024,https://www.goat.com/sneakers/travis-scott-x-air-jordan-1-low-og-sp-olive-dm7866-200
38,Air Jordan 3 Retro 'Cement Grey',161.0,2024,https://www.goat.com/sneakers/air-jordan-3-retro-cement-grey-ct8532-106
39,Yeezy Slides 'Slate Marine',87.0,2023,https://www.goat.com/sneakers/yeezy-slides-slate-marina-id2349
40,Air Jordan 4 Retro 'Military Blue' 2024,173.0,2024,https://www.goat.com/sneakers/air-jordan-4-retro-military-blue-2024-fv5029-141
41,Wmns Tasman Slipper 'Chestnut',53.0,2021,https://www.goat.com/sneakers/wmns-tasman-slipper-chestnut-5955-che
42,Yeezy Slides 'Onyx',102.0,2022,https://www.goat.com/sneakers/yeezy-slides-onyx-hq6448
43,Yeezy Boost 350 V2 'Bone',142.0,2022,https://www.goat.com/sneakers/yeezy-boost-350-v2-pure-oat-hq6316
44,Wmns Air Zoom Vomero 5 'Photon Dust Metallic Silver',125.0,2023,https://www.goat.com/sneakers/wmns-air-zoom-vomero-5-photon-dust-metallic-silver-fd0884-025
